"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"281",599,2019-06-28,NA,"Não","Sim","Sem julgamento"
"282",600,2019-07-10,2020-10-01,"Não","Não","Procedente"
"283",601,2019-07-11,2023-08-10,"Não","Não","Sem mérito"
"284",602,2019-07-22,2019-09-10,"Não","Não","Sem mérito"
"285",603,2019-07-25,2022-08-22,"Sim","Não","Sem mérito"
"286",604,2019-07-26,2019-08-30,"Não","Não","Sem mérito"
"287",605,2019-07-26,NA,"Não","Sim","Sem julgamento"
"288",606,2019-07-29,NA,"Sim","Sim","Sem julgamento"
"289",607,2019-07-31,2022-06-09,"Sim","Não","Procedente"
"290",608,2019-08-02,2019-09-12,"Não","Não","Sem mérito"
"291",609,2019-08-06,2020-05-27,"Não","Não","Sem mérito"
"292",610,2019-08-13,2022-11-09,"Sim","Não","Prejudicado"
"293",611,2019-08-15,2019-09-13,"Não","Não","Sem mérito"
"294",612,2019-08-19,2020-10-09,"Não","Não","Sem mérito"
"295",613,2019-08-19,2020-09-01,"Não","Não","Sem mérito"
"296",614,2019-08-27,2021-04-29,"Sim","Não","Prejudicado"
"297",615,2019-08-28,NA,"Não","Sim","Sem julgamento"
"298",616,2019-09-02,2022-11-29,"Não","Não","Procedente em parte"
"299",617,2019-09-09,2020-02-12,"Não","Não","Sem mérito"
"300",618,2019-09-09,NA,"Sim","Sim","Sem julgamento"
"301",619,2019-09-12,2022-09-17,"Não","Não","Sem mérito"
"302",620,2019-09-13,2021-03-23,"Não","Não","Procedente"
"303",621,2019-09-16,2020-06-16,"Não","Não","Sem mérito"
"304",622,2019-09-16,2021-06-07,"Não","Não","Procedente em parte"
"305",623,2019-09-16,2023-08-09,"Não","Não","Procedente"
"306",624,2019-09-17,2020-10-23,"Não","Não","Sem mérito"
"307",625,2019-10-04,2020-02-13,"Não","Não","Sem mérito"
"308",626,2019-10-07,NA,"Não","Sim","Sem julgamento"
"309",627,2019-10-15,2020-11-05,"Não","Não","Sem mérito"
"310",628,2019-10-16,2020-04-22,"Não","Não","Prejudicado"
"311",629,2019-10-18,2020-02-21,"Não","Não","Sem mérito"
"312",630,2019-10-23,2021-05-28,"Sim","Não","Sem mérito"
"313",631,2019-10-30,2019-12-05,"Não","Não","Sem mérito"
"314",632,2019-11-12,2020-03-03,"Não","Não","Sem mérito"
"315",633,2019-11-18,2020-04-06,"Não","Não","Sem mérito"
"316",634,2019-11-19,2023-04-24,"Não","Não","Procedente"
"317",635,2019-11-20,NA,"Não","Sim","Sem julgamento"
"318",636,2019-11-26,2020-02-14,"Não","Não","Sem mérito"
"319",637,2019-12-12,NA,"Não","Sim","Sem julgamento"
"320",638,2019-12-13,2022-03-24,"Não","Não","Prejudicado"
"321",639,2019-12-17,2021-08-23,"Não","Não","Sem mérito"
"322",640,2019-12-18,2023-10-30,"Não","Não","Procedente"
"323",641,2019-12-19,2020-10-21,"Não","Não","Sem mérito"
"324",642,2019-12-20,NA,"Não","Sim","Sem julgamento"
"325",643,2020-01-06,2024-03-11,"Não","Não","Improcedente"
