"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"234","ADPF","552",2018-11-20,2019-09-09,"MIN. LUÍS ROBERTO BARROSO",1,293
"235","ADPF","553",2018-11-20,2019-05-31,"MIN. ALEXANDRE DE MORAES",1,192
"236","ADPF","554",2018-11-21,2020-06-10,"MIN. LUIZ FUX",1,567
"237","ADPF","555",2018-11-23,2020-05-27,"MIN. CELSO DE MELLO",1,551
"238","ADPF","556",2018-11-28,2020-08-28,"MIN. CÁRMEN LÚCIA",1,639
"239","ADPF","557",2018-12-04,2025-06-06,"MIN. CRISTIANO ZANIN",0,2376
"240","ADPF","558",2018-12-11,2019-02-21,"MIN. MARCO AURÉLIO",1,72
"241","ADPF","559",2018-12-12,2022-08-12,"MIN. LUÍS ROBERTO BARROSO",1,1339
"242","ADPF","560",2018-12-14,2020-03-09,"MIN. ALEXANDRE DE MORAES",1,451
"243","ADPF","561",2019-01-02,2020-11-26,"MIN. RICARDO LEWANDOWSKI",1,694
"244","ADPF","562",2019-01-14,2019-08-09,"MIN. RICARDO LEWANDOWSKI",1,207
"245","ADPF","563",2019-01-14,2021-03-30,"MIN. EDSON FACHIN",1,806
"246","ADPF","564",2019-01-21,2025-06-06,"MIN. CRISTIANO ZANIN",0,2328
"247","ADPF","565",2019-02-25,2019-08-13,"MIN. RICARDO LEWANDOWSKI",1,169
"248","ADPF","566",2019-02-26,2019-09-23,"MIN. LUIZ FUX",1,209
"249","ADPF","567",2019-02-28,2021-04-12,"MIN. ALEXANDRE DE MORAES",1,774
"250","ADPF","568",2019-03-12,2019-10-14,"MIN. ALEXANDRE DE MORAES",1,216
"251","ADPF","569",2019-03-13,2024-06-17,"MIN. ALEXANDRE DE MORAES",1,1923
"252","ADPF","570",2019-03-14,2019-09-30,"MIN. MARCO AURÉLIO",1,200
"253","ADPF","571",2019-03-19,2021-10-13,"MIN. GILMAR MENDES",1,939
"254","ADPF","572",2019-03-25,2020-11-26,"MIN. EDSON FACHIN",1,612
"255","ADPF","573",2019-03-25,2023-05-04,"MIN. LUÍS ROBERTO BARROSO",1,1501
"256","ADPF","574",2019-03-28,2021-05-10,"MIN. EDSON FACHIN",1,774
"257","ADPF","575",2019-04-02,2019-05-31,"MIN. LUIZ FUX",1,59
"258","ADPF","576",2019-04-11,2019-06-13,"MIN. GILMAR MENDES",1,63
"259","ADPF","577",2019-04-12,2019-11-05,"MIN. CÁRMEN LÚCIA",1,207
"260","ADPF","578",2019-04-12,2025-06-06,"MIN. LUIZ FUX",0,2247
"261","ADPF","579",2019-04-24,2021-02-03,"MIN. EDSON FACHIN",1,651
"262","ADPF","580",2019-05-04,2019-08-06,"MIN. CELSO DE MELLO",1,94
"263","ADPF","582",2019-05-14,2020-10-13,"MIN. CELSO DE MELLO",1,518
"264","ADPF","583",2019-05-15,2020-10-15,"MIN. CELSO DE MELLO",1,519
"265","ADPF","584",2019-05-17,2020-03-27,"MIN. ALEXANDRE DE MORAES",1,315
"266","ADPF","585",2019-05-21,2022-05-06,"MIN. MARCO AURÉLIO",1,1081
"267","ADPF","587",2019-05-27,2020-10-06,"MIN. CELSO DE MELLO",1,498
"268","ADPF","588",2019-05-28,2022-03-28,"MIN. LUÍS ROBERTO BARROSO",1,1035
"269","ADPF","589",2019-05-28,2019-08-07,"MIN. EDSON FACHIN",1,71
"270","ADPF","590",2019-06-12,2020-10-06,"MIN. LUIZ FUX",1,482
"271","ADPF","591",2019-06-12,2024-11-05,"MIN. CRISTIANO ZANIN",1,1973
"272","ADPF","592",2019-06-14,2024-02-23,"MIN. LUIZ FUX",1,1715
"273","ADPF","593",2019-06-18,2025-02-14,"MIN. FLÁVIO DINO",1,2068
"274","ADPF","594",2019-06-18,2023-02-06,"MIN. EDSON FACHIN",1,1329
"275","ADPF","595",2019-06-19,2020-10-22,"MIN. CELSO DE MELLO",1,491
"276","ADPF","596",2019-06-21,2022-08-17,"MIN. ROSA WEBER",1,1153
"277","ADPF","597",2019-06-24,2020-09-28,"MIN. MARCO AURÉLIO",1,462
"278","ADPF","598",2019-06-27,2021-08-12,"MIN. RICARDO LEWANDOWSKI",1,777
"279","ADPF","599",2019-06-28,2025-06-06,"MIN. ANDRÉ MENDONÇA",0,2170
"280","ADPF","600",2019-07-10,2020-10-01,"MIN. LUÍS ROBERTO BARROSO",1,449
"281","ADPF","601",2019-07-11,2023-08-10,"MIN. GILMAR MENDES",1,1491
"282","ADPF","602",2019-07-22,2019-09-10,"MIN. RICARDO LEWANDOWSKI",1,50
"283","ADPF","603",2019-07-25,2022-08-22,"MIN. DIAS TOFFOLI",1,1124
"284","ADPF","604",2019-07-26,2019-08-30,"MIN. GILMAR MENDES",1,35
"285","ADPF","605",2019-07-26,2025-06-06,"MIN. DIAS TOFFOLI",0,2142
"286","ADPF","606",2019-07-29,2025-06-06,"MIN. GILMAR MENDES",0,2139
"287","ADPF","607",2019-07-31,2022-06-09,"MIN. DIAS TOFFOLI",1,1044
"288","ADPF","608",2019-08-02,2019-09-12,"MIN. ALEXANDRE DE MORAES",1,41
"289","ADPF","609",2019-08-06,2020-05-27,"MIN. CELSO DE MELLO",1,295
"290","ADPF","610",2019-08-13,2022-11-09,"MIN. DIAS TOFFOLI",1,1184
"291","ADPF","611",2019-08-15,2019-09-13,"MIN. GILMAR MENDES",1,29
"292","ADPF","612",2019-08-19,2020-10-09,"MIN. RICARDO LEWANDOWSKI",1,417
"293","ADPF","613",2019-08-19,2020-09-01,"MIN. ROSA WEBER",1,379
"294","ADPF","614",2019-08-27,2021-04-29,"MIN. CÁRMEN LÚCIA",1,611
"295","ADPF","615",2019-08-28,2025-06-06,"MIN. LUÍS ROBERTO BARROSO",0,2109
"296","ADPF","616",2019-09-02,2022-11-29,"MIN. LUÍS ROBERTO BARROSO",1,1184
"297","ADPF","617",2019-09-09,2020-02-12,"MIN. ALEXANDRE DE MORAES",1,156
"298","ADPF","618",2019-09-09,2025-06-06,"MIN. NUNES MARQUES",0,2097
"299","ADPF","619",2019-09-12,2022-09-17,"MIN. ROSA WEBER",1,1101
"300","ADPF","620",2019-09-13,2021-03-23,"MIN. LUÍS ROBERTO BARROSO",1,557
"301","ADPF","621",2019-09-16,2020-06-16,"MIN. CÁRMEN LÚCIA",1,274
