"";"classe 1";"classe 2";"classe 3"
"garantir";104,77;-43,144;-24,753
"diretorio";-54,87;-0,124;78,18
"cautelar";0,839;-29,706;20,67
"caracterizar";-36,592;44,736;0,003
"autonomia";36,773;-9,489;-14,289
"disposicao";-0,011;0,526;-0,391
"regime";35,078;-22,661;-3,585
"parametro";-3,957;12,906;-1,99
"indicacao";-21,88;4,975;9,396
"tse";-95,496;-16,446;235,649
"ordenamento";-43,045;50,578;0,044
"discutir";-33,102;1,181;29,932
"tomar";31,963;-8,204;-12,475
"previo";-1,661;21,668;-10,911
"grupo";107,084;-35,333;-33,002
"chefe";0,481;-11,828;7,49
"atual";25,166;-8,328;-7,733
"argumento";-14,503;0,042;17,216
"virtual";-13,648;-23,793;85,321
"validade";-4,077;0,422;2,706
"linha";1,383;0,053;-2,501
"finalidade";1,377;2,3;-8,412
"agravar";-50,317;-0,062;70,164
"procurador_geral_da_republica";-20,032;-12,325;76,178
"detran";47,766;-38,144;-2,471
"conjunto";0,003;-2,672;2,615
"organico";-19,729;-1,145;38,238
"efetividade";-40,818;163,389;-33,734
"assinar";-37,178;-45,573;193,513
"administracao_publica";42,501;-24,92;-5,47
"requerimento";4,252;-27,155;8,934
"interpor";-99,896;-12,26;226,115
"autorizacao";61,274;-17,117;-22,224
"periodo";62,288;-38,144;-7,264
"investigacao";0,269;-31,105;26,338
"incidencia";-14,375;-5,362;45,128
"idoneo";-92,831;287,061;-40,489
"apreciacao";-17,747;2,486;10,267
"agdo";-2,641;-1,149;8,767
"significar";-3,031;53,098;-30,114
"responsavel";74,223;-34,496;-14,697
"referir";-1,467;0,972;0,14
"orientacao";1,169;-2,178;0,077
"informar";32,572;-31,839;-0,549
"elemento";-13,741;10,447;0,857
"concluir";0,8;-7,22;3,008
"produto";109,291;-37,046;-32,719
"preservacao";3,227;1,526;-11,054
"instauracao";-35,709;35,326;0,547
"sumular";-41,764;2,538;33,213
"relevancia";-21,274;36,772;-0,893
"partido_politico";-72,51;-1,252;118,749
"indole";-67,608;239,423;-41,88
"enfrentamento";39,01;-3,357;-27,767
"edital";46,079;-18,111;-11,577
"ed";-20,941;73,608;-12,736
"doenca";131,691;-44,381;-39,674
"campo";6,829;-17,768;1,784
"aprovar";97,314;-38,144;-24,535
"saude_publica";108,217;-40,654;-28,771
"inquerito";-7,972;-25,972;71,645
"inc";-21,088;-0,919;38,957
"governador";-3,425;-11,781;31,836
"concentrado";-93,719;219,662;-17,075
"reger";-37,876;110,774;-14,131
"posto";-5,923;0,078;6,247
"manaus";115,03;-38,981;-34,447
"constante";2,066;-11,274;3,244
"citar";-2,051;10,385;-2,784
"habeas_corpus";-26,512;20,512;1,551
"argumentar";13,595;-13,956;-0,149
"profissional";66,753;-22,284;-20,318
"mandato";-79,863;-28,121;245,705
"indireto";-4,54;17,493;-3,439
"implicar";-15,008;0,231;15,54
"grifo";-37,879;63,934;-1,352
"anvisa";122,807;-42,826;-35,626
"conceder";26,123;-46,327;1,291
"interno";-7,332;-1,366;18,49
"conclusao";-0,341;-0,002;0,512
"atos_normativos";-27,28;34,719;-0,005
"vistoria";70,994;-34,268;-13,225
"unidade";73,95;-19,696;-27,972
"restricao";80,665;-30,024;-21,689
"reducao";71,85;-45,548;-7,705
"fevereiro";15,592;-29,979;1,211
"edicao";14,631;-8,491;-1,926
"ameaca";-0,147;0,155;0,001
"minimo";35,94;-10,197;-12,853
"falta";0,36;-0,007;-0,364
"extincao";-23,501;-27,012;118,494
"dose";97,91;-33,107;-29,391
"camara_municipal";-34,617;-22,897;135,681
"adocao";20,793;-7,339;-5,95
"suposto";-20,167;50,297;-4,577
"ristf";-87,438;-20,881;237,048
"meio_ambiente";90,159;-29,646;-27,888
"judiciario";7,955;-2,042;-3,105
"asseverar";1,571;-2,838;0,087
"urgencia";12,739;-22,35;0,588
"rj";-58,22;35,806;6,721
"reg";-37,963;-2,803;76,959
"livre";37,034;-10,346;-13,432
"fiscalizacao";-7,554;37,726;-9,98
"coronavirus";112,734;-43,603;-28,908
"agrotoxico";102,079;-33,107;-32,035
"ag";-66,19;-14,061;173,282
"aduzir";5,14;-20,384;4,159
"rol";29,047;-8,018;-10,649
"rer";-21,436;7,591;6,111
"propositura";-79,679;55,459;6,626
"numerar";72,902;-26,246;-20,391
"janeiro";42,845;-36,659;-1,633
"instituir";21,284;-1,624;-15,789
"exaurimento";-89,244;33,217;23,996
"criar";37,809;-24,517;-3,827
"agenciar";91,283;-32,403;-25,952
"voltar";14,311;-17,231;-0,005
"titular";-9,538;-15,257;56,936
"republicar";21,334;-5,769;-7,964
"reconhecimento";-4,933;-8,385;30,42
"prover";-55,869;57,248;0,624
"ex";-9,187;-1,786;23,444
"devido";4,386;-3,421;-0,249
"atribuir";-0,199;-1,902;3,713
"aprovacao";61,398;-15,91;-23,773
"setembro";23,929;-39,696;0,753
"registrar";19,113;-14,895;-1,088
"emergencia";122,807;-40,084;-38,284
"doutrina";-31,341;119,116;-22,993
"servidor";0,215;0,633;-1,818
"policiar";55,019;-28,976;-8,795
"partidario";-18,614;-0,59;32,812
"motivo";7,247;-3,088;-1,633
"combate";51,002;-16,239;-16,314
"alterar";6,598;-20,532;2,928
"restar";-28,515;-1,015;51,091
"receber";14,692;-20,202;0,051
"real";-0,529;30,735;-23,607
"proposito";-17,417;31,739;-1,011
"fatico";-0,71;-17,993;28,296
"constatar";-29,216;55,029;-2,037
"circunstanciar";-0,573;1,259;-0,081
"indeferimento";-19,07;-11,781;72,644
"democratico";0,007;-24,437;24,776
"comissao";15,296;-14,396;-0,339
"negro";-71,97;-16,981;194,4
"identificacao";64,246;-31,641;-11,572
"cessar";-80,425;230,317;-28,227
"projeto";12,415;-4,423;-3,515
"direitos_humanos";98,412;-37,388;-25,806
"beneficiar";44,536;-33,183;-2,98
"repercussao_geral";-46,244;46,217;0,65
"obrigacao";41,896;-11,781;-15,105
"ix";-6,042;-21,885;58,013
"discussao";-24,479;42,213;-1,011
"crime";47,831;-33,881;-3,772
"abril";9,891;-38,94;7,871
"unanimidade";-42,412;-30,1;171,297
"seguranca_juridica";-7,288;-0,696;15,58
"resultante";-59,763;176,187;-22,812
"expressar";0,007;-9,004;8,899
"vigencia";-1,07;-5,402;12,747
"valer";-0,166;25,697;-22,451
"suspender";15,366;-34,341;2,336
"sociedade";88,196;-32,567;-23,941
"recurso_extraordinario";-63,24;53,957;2,444
"medicar";95,038;-38,94;-22,606
"examinar";-13,784;1,912;8,015
"estabelecimento";50,066;-17,562;-14,428
"comunicacao";81,748;-31,641;-20,944
"cidadao";44,814;-36,98;-2,019
"agir";-1,808;-5,171;15,005
"advocacia_geral_da_uniao";-0,895;-20,202;32,462
"reflexo";-56,515;77,961;-0,21
"poder_executivo";4,136;-12,066;1,532
"incabivel";-82,972;186,328;-12,853
"hora";53,835;-11,75;-23,824
"federado";58,136;-13,963;-23,941
"estrangeiro";64,238;-28,976;-13,32
"vincular";-0,699;-5,402;11,178
"reparar";-68,472;144,576;-8,24
"reajuste";38,802;-6,827;-19,793
"partido_dos_trabalhadores";-18,207;-12,837;73,328
"obrigatorio";7,458;0,107;-11,992
"curso";2,384;-12,69;3,569
"competir";16,959;-7,652;-3,515
"advogado";-14,17;-24,057;87,326
"seguranca_publica";15,983;-14,149;-0,512
"resultar";-28,379;3,784;16,824
"popular";-5,646;8,915;-0,119
"determinacao";32,529;-24,762;-2,019
"compreender";-0,194;5,367;-3,515
"coisa";-17,305;32,075;-1,106
"rio_de_janeiro";0,012;-3,714;3,431
"isencao";103,229;-36,224;-29,736
"institucional";28,165;-14,986;-4,417
